client_id,property_id,total_price,rooms,baths,zone,yield_est,reno_cost,has_max_budget,budget_min,budget_max_num,mort_ok,rooms_exact,baths_exact,in_zone,first_time_investor,reno_bucket,label
C001,P017,85000.0,2,1,Xàtiva,0.0634,4540.0,1,50000.0,82678.0,1,1,1,0,0,small,0
C001,P022,86048.0,2,1,Alicante,0.055,11650.0,1,50000.0,82678.0,1,1,1,0,0,medium,0
C001,P032,85000.0,2,1,Toledo,0.0658,4243.0,1,50000.0,82678.0,1,1,1,0,0,small,0
C001,P037,85000.0,2,1,Murcia,0.0596,3072.0,1,50000.0,82678.0,1,1,1,0,0,small,0
C001,P050,85000.0,2,1,Valencia,0.0688,10652.0,1,50000.0,82678.0,1,1,1,0,0,medium,0
C005,P017,85000.0,2,1,Xàtiva,0.0634,4540.0,1,50000.0,108597.0,1,1,1,0,1,small,0
C005,P021,97598.0,2,2,Castellón,0.0516,19794.0,1,50000.0,108597.0,1,1,1,0,1,medium,0
C005,P022,86048.0,2,1,Alicante,0.055,11650.0,1,50000.0,108597.0,1,1,1,0,1,medium,0
C005,P032,85000.0,2,1,Toledo,0.0658,4243.0,1,50000.0,108597.0,1,1,1,0,1,small,0
C005,P036,111914.0,2,1,Illescas,0.0522,38455.0,1,50000.0,108597.0,1,1,1,0,1,high,0
C005,P037,85000.0,2,1,Murcia,0.0596,3072.0,1,50000.0,108597.0,1,1,1,1,1,small,0
C005,P049,106904.0,2,1,Anna,0.0684,4569.0,1,50000.0,108597.0,1,1,1,0,1,small,0
C005,P050,85000.0,2,1,Valencia,0.0688,10652.0,1,50000.0,108597.0,1,1,1,0,1,medium,0
C007,P012,85000.0,2,1,Xàtiva,0.0554,4113.0,1,55000.0,79094.0,0,1,1,0,1,small,0
C007,P017,85000.0,2,1,Xàtiva,0.0634,4540.0,1,55000.0,79094.0,0,1,1,0,1,small,0
C007,P022,86048.0,2,1,Alicante,0.055,11650.0,1,55000.0,79094.0,0,1,1,0,1,medium,0
C007,P032,85000.0,2,1,Toledo,0.0658,4243.0,1,55000.0,79094.0,0,1,1,0,1,small,0
C007,P037,85000.0,2,1,Murcia,0.0596,3072.0,1,55000.0,79094.0,0,1,1,1,1,small,1
C007,P050,85000.0,2,1,Valencia,0.0688,10652.0,1,55000.0,79094.0,0,1,1,0,1,medium,0
C010,P012,85000.0,2,1,Xàtiva,0.0554,4113.0,1,65000.0,108864.0,0,1,1,0,1,small,0
C010,P017,85000.0,2,1,Xàtiva,0.0634,4540.0,1,65000.0,108864.0,0,1,1,0,1,small,0
C010,P021,97598.0,2,2,Castellón,0.0516,19794.0,1,65000.0,108864.0,0,1,1,0,1,medium,0
C010,P022,86048.0,2,1,Alicante,0.055,11650.0,1,65000.0,108864.0,0,1,1,1,1,medium,0
C010,P028,118809.0,2,1,Murcia,0.0608,4523.0,1,65000.0,108864.0,0,1,1,0,1,small,0
C010,P032,85000.0,2,1,Toledo,0.0658,4243.0,1,65000.0,108864.0,0,1,1,0,1,small,0
C010,P036,111914.0,2,1,Illescas,0.0522,38455.0,1,65000.0,108864.0,0,1,1,1,1,high,0
C010,P037,85000.0,2,1,Murcia,0.0596,3072.0,1,65000.0,108864.0,0,1,1,0,1,small,0
C010,P040,109651.0,2,1,Valencia,0.0603,38296.0,1,65000.0,108864.0,0,1,1,1,1,high,1
C010,P049,106904.0,2,1,Anna,0.0684,4569.0,1,65000.0,108864.0,0,1,1,0,1,small,0
C010,P050,85000.0,2,1,Valencia,0.0688,10652.0,1,65000.0,108864.0,0,1,1,1,1,medium,1
C018,P017,85000.0,2,1,Xàtiva,0.0634,4540.0,1,60000.0,79553.0,1,1,1,0,1,small,0
C018,P022,86048.0,2,1,Alicante,0.055,11650.0,1,60000.0,79553.0,1,1,1,0,1,medium,0
C018,P032,85000.0,2,1,Toledo,0.0658,4243.0,1,60000.0,79553.0,1,1,1,0,1,small,0
C018,P037,85000.0,2,1,Murcia,0.0596,3072.0,1,60000.0,79553.0,1,1,1,0,1,small,0
C018,P050,85000.0,2,1,Valencia,0.0688,10652.0,1,60000.0,79553.0,1,1,1,1,1,medium,1
C019,P017,85000.0,2,1,Xàtiva,0.0634,4540.0,1,50000.0,79323.0,1,1,1,0,0,small,0
C019,P022,86048.0,2,1,Alicante,0.055,11650.0,1,50000.0,79323.0,1,1,1,0,0,medium,0
